,Sample #,MLII,Time,Type
0,161,1318,0:00.447,0
1,518,1321,0:01.439,0
2,850,1351,0:02.361,0
3,1211,1343,0:03.364,0
4,1629,1283,0:04.525,0
5,1977,1341,0:05.492,0
6,2327,1336,0:06.464,0
7,2699,1340,0:07.497,0
8,3065,1344,0:08.514,0
9,3406,1332,0:09.461,0
10,3737,1318,0:10.381,0
11,4114,1344,0:11.428,0
12,4488,1353,0:12.467,0
13,4823,1343,0:13.397,0
14,5179,1304,0:14.386,0
15,5519,1275,0:15.331,0
16,5845,1291,0:16.236,0
17,6161,1294,0:17.114,0
18,6497,1284,0:18.047,0
19,6857,1293,0:19.047,0
20,7180,1309,0:19.944,0
21,7496,1381,0:20.822,0
22,7836,1305,0:21.767,0
23,8185,1307,0:22.736,0
24,8518,1311,0:23.661,0
25,8830,1331,0:24.528,0
26,9164,1354,0:25.456,0
27,9498,1307,0:26.383,0
28,9841,1270,0:27.336,0
29,10158,1290,0:28.217,0
30,10492,1310,0:29.144,0
31,10828,1264,0:30.078,0
32,11158,1266,0:30.994,0
33,11473,1275,0:31.869,0
34,11790,1331,0:32.750,0
35,12113,1343,0:33.647,0
36,12429,1324,0:34.525,0
37,12735,1285,0:35.375,0
38,13087,1305,0:36.353,0
39,13423,1366,0:37.286,0
40,13734,1348,0:38.150,0
41,14088,1290,0:39.133,0
42,14470,1244,0:40.194,0
43,14809,1273,0:41.136,0
44,15190,1219,0:42.194,0
45,15600,1224,0:43.333,0
46,15964,1239,0:44.344,0
47,16318,1307,0:45.328,0
48,16695,1314,0:46.375,0
49,17071,1354,0:47.419,0
50,17426,1378,0:48.406,0
51,17787,1317,0:49.408,0
52,18163,1295,0:50.453,0
53,18518,1273,0:51.439,0
54,18864,1301,0:52.400,0
55,19216,1273,0:53.378,0
56,19568,1267,0:54.356,0
57,19882,1210,0:55.228,0
58,20203,1201,0:56.119,0
59,20539,1241,0:57.053,0
60,20875,1265,0:57.986,0
61,21175,1268,0:58.819,0
62,21488,1292,0:59.689,0
63,21832,1257,1:00.644,0
64,22169,1291,1:01.581,0
65,22519,1288,1:02.553,0
66,22878,1234,1:03.550,0
67,23219,1240,1:04.497,0
68,23541,1266,1:05.392,0
69,23872,1279,1:06.311,0
70,24236,1277,1:07.322,0
71,24565,1280,1:08.236,0
72,24917,1308,1:09.214,0
73,25285,1282,1:10.236,0
74,25659,1294,1:11.275,0
75,26012,1340,1:12.256,0
76,26374,1443,1:13.261,0
77,26733,1385,1:14.258,0
78,27069,1321,1:15.192,0
79,27383,1289,1:16.064,0
80,27709,1265,1:16.969,0
81,28036,1240,1:17.878,0
82,28355,1234,1:18.764,0
83,28665,1252,1:19.625,0
84,28986,1238,1:20.517,0
85,29353,1283,1:21.536,0
86,29673,1283,1:22.425,0
87,30003,1303,1:23.342,0
88,30353,1303,1:24.314,0
89,30694,1302,1:25.261,0
90,31030,1321,1:26.194,0
91,31381,1323,1:27.169,0
92,31766,1307,1:28.239,0
93,32109,1340,1:29.192,0
94,32451,1346,1:30.142,0
95,32797,1338,1:31.103,0
96,33145,1333,1:32.069,0
97,33471,1326,1:32.975,0
98,33811,1397,1:33.919,0
99,34161,1419,1:34.892,0
100,34510,1338,1:35.861,0
101,34828,1282,1:36.744,0
102,35197,1242,1:37.769,0
103,35542,1234,1:38.728,0
104,35866,1255,1:39.628,0
105,36233,1226,1:40.647,0
106,36608,1252,1:41.689,0
107,36924,1301,1:42.567,0
108,37251,1273,1:43.475,0
109,37633,1264,1:44.536,0
110,38010,1265,1:45.583,0
111,38334,1263,1:46.483,0
112,38702,1253,1:47.506,0
113,39097,1241,1:48.603,0
114,39435,1279,1:49.542,0
115,39773,1281,1:50.481,0
116,40136,1299,1:51.489,0
117,40502,1353,1:52.506,0
118,40822,1359,1:53.394,0
119,41156,1326,1:54.322,0
120,41514,1279,1:55.317,0
121,41843,1227,1:56.231,0
122,42146,1233,1:57.072,0
123,42464,1239,1:57.956,0
124,42808,1230,1:58.911,0
125,43133,1282,1:59.814,0
126,43452,1295,2:00.700,0
127,43800,1234,2:01.667,0
128,44155,1181,2:02.653,0
129,44477,1204,2:03.547,0
130,44821,1171,2:04.503,0
131,45189,1168,2:05.525,0
132,45524,1270,2:06.456,0
133,45860,1295,2:07.389,0
134,46244,1353,2:08.456,0
135,46607,1328,2:09.464,0
136,46924,1344,2:10.344,0
137,47235,1298,2:11.208,0
138,47565,1306,2:12.125,0
139,47877,1339,2:12.992,0
140,48192,1332,2:13.867,0
141,48522,1309,2:14.783,0
142,48860,1309,2:15.722,0
143,49190,1302,2:16.639,0
144,49538,1337,2:17.606,0
145,49892,1329,2:18.589,0
146,50223,1317,2:19.508,0
147,50545,1354,2:20.403,0
148,50915,1403,2:21.431,0
149,51272,1364,2:22.422,0
150,51600,1346,2:23.333,0
151,51945,1271,2:24.292,0
152,52314,1290,2:25.317,0
153,52642,1348,2:26.228,0
154,52953,1386,2:27.092,0
155,53284,1356,2:28.011,0
156,53612,1377,2:28.922,0
157,53913,1352,2:29.758,0
158,54223,1354,2:30.619,0
159,54557,1365,2:31.547,0
160,54885,1353,2:32.458,0
161,55196,1391,2:33.322,0
162,55526,1391,2:34.239,0
163,55925,1371,2:35.347,0
164,56279,1352,2:36.331,0
165,56613,1356,2:37.258,0
166,56983,1319,2:38.286,0
167,57330,1346,2:39.250,0
168,57638,1365,2:40.106,0
169,57981,1341,2:41.058,0
170,58380,1407,2:42.167,0
171,58725,1341,2:43.125,0
172,59066,1318,2:44.072,0
173,59429,1334,2:45.081,0
174,59782,1354,2:46.061,0
175,60091,1316,2:46.919,0
176,60429,1342,2:47.858,0
177,60777,1295,2:48.825,0
178,61124,1337,2:49.789,0
179,61439,1357,2:50.664,0
180,61773,1350,2:51.592,0
181,62143,1344,2:52.619,0
182,62476,1316,2:53.544,0
183,62779,1326,2:54.386,0
184,63133,1318,2:55.369,0
185,63514,1429,2:56.428,0
186,63846,1407,2:57.350,0
187,64188,1368,2:58.300,0
188,64566,1311,2:59.350,0
189,64925,1335,3:00.347,0
190,65238,1354,3:01.217,0
191,65548,1367,3:02.078,0
192,65863,1344,3:02.953,0
193,66178,1324,3:03.828,0
194,66476,1294,3:04.656,0
195,66793,1326,3:05.536,0
196,67139,1347,3:06.497,0
197,67465,1358,3:07.403,0
198,67800,1370,3:08.333,0
199,68231,1329,3:09.531,0
