,Sample #,MLII,Time,Type
0,75,1225,0:00.208,0
1,349,1225,0:00.969,0
2,616,1234,0:01.711,0
3,880,1264,0:02.444,0
4,1138,1223,0:03.161,0
5,1400,1216,0:03.889,0
6,1666,1333,0:04.628,0
7,1926,1295,0:05.350,0
8,2199,1319,0:06.108,0
9,2467,1359,0:06.853,0
10,2726,1364,0:07.572,0
11,2985,1366,0:08.292,0
12,3243,1352,0:09.008,0
13,3502,1392,0:09.728,0
14,3763,1343,0:10.453,0
15,4026,1379,0:11.183,0
16,4300,1372,0:11.944,0
17,4570,1384,0:12.694,0
18,4841,1360,0:13.447,0
19,5115,1326,0:14.208,0
20,5387,1405,0:14.964,0
21,5662,1313,0:15.728,0
22,5926,1279,0:16.461,0
23,6193,1278,0:17.203,0
24,6458,1245,0:17.939,0
25,6732,1262,0:18.700,0
26,7005,1243,0:19.458,0
27,7262,1243,0:20.172,0
28,7524,1275,0:20.900,0
29,7776,1263,0:21.600,0
30,8024,1256,0:22.289,0
31,8273,1247,0:22.981,0
32,8523,1251,0:23.675,0
33,8782,1267,0:24.394,0
34,9052,1260,0:25.144,0
35,9329,1266,0:25.914,0
36,9598,1369,0:26.661,0
37,9872,1389,0:27.422,0
38,10156,1405,0:28.211,0
39,10437,1354,0:28.992,0
40,10717,1342,0:29.769,0
41,10990,1394,0:30.528,0
42,11259,1260,0:31.275,0
43,11532,1293,0:32.033,0
44,11805,1272,0:32.792,0
45,12079,1272,0:33.553,0
46,12358,1259,0:34.328,0
47,12643,1195,0:35.119,0
48,12923,1265,0:35.897,0
49,13208,1369,0:36.689,0
50,13498,1357,0:37.494,0
51,13781,1450,0:38.281,0
52,14056,1415,0:39.044,0
53,14332,1380,0:39.811,0
54,14610,1392,0:40.583,0
55,14876,1398,0:41.322,0
56,15153,1408,0:42.092,0
57,15434,1298,0:42.872,0
58,15708,1286,0:43.633,0
59,15983,1271,0:44.397,0
60,16269,1266,0:45.192,0
61,16570,1263,0:46.028,0
62,16867,1240,0:46.853,0
63,17163,1244,0:47.675,0
64,17451,1228,0:48.475,0
65,17728,1187,0:49.244,0
66,18007,1169,0:50.019,0
67,18278,1169,0:50.772,0
68,18560,1179,0:51.556,0
69,18850,1150,0:52.361,0
70,19134,1223,0:53.150,0
71,19413,1181,0:53.925,0
72,19690,1149,0:54.694,0
73,19979,1220,0:55.497,0
74,20270,1238,0:56.306,0
75,20560,1248,0:57.111,0
76,20834,1252,0:57.872,0
77,21111,1256,0:58.642,0
78,21395,1252,0:59.431,0
79,21689,1237,1:00.247,0
80,21997,1260,1:01.103,0
81,22301,1264,1:01.947,0
82,22595,1231,1:02.764,0
83,22895,1253,1:03.597,0
84,23200,1250,1:04.444,0
85,23493,1278,1:05.258,0
86,23778,1288,1:06.050,0
87,24058,1286,1:06.828,0
88,24348,1241,1:07.633,0
89,24649,1234,1:08.469,0
90,24946,1198,1:09.294,0
91,25244,1184,1:10.122,0
92,25543,1187,1:10.953,0
93,25826,1177,1:11.739,0
94,26088,1191,1:12.467,0
95,26353,1264,1:13.203,0
96,26622,1273,1:13.950,0
97,26884,1260,1:14.678,0
98,27159,1262,1:15.442,0
99,27447,1270,1:16.242,0
100,27740,1248,1:17.056,0
101,28033,1235,1:17.869,0
102,28330,1240,1:18.694,0
103,28632,1247,1:19.533,0
104,28922,1262,1:20.339,0
